Haplotype	Cluster
NA19650.pat	1
HG002.mat	1
HG00268.mat	1
HG03683.pat	1
HG01123.pat	1
HG01243.pat	1
NA18939.pat	1
HG00438.pat	1
HG01258.pat	1
HG00864.mat	1
HG00621.mat	1
HG03807.mat	1
NA18534.mat	1
HG00673.pat	1
NA18534.pat	1
NA18989.pat	1
HG01358.pat	1
HG01573.mat	1
HG01928.mat	1
HG01978.mat	1
HG00673.mat	1
NA18939.mat	1
HG00438.mat	1
HG005.pat	1
HG04036.mat	1
HG02666.pat	2
HG02257.mat	2
NA20355.pat	2
HG01175.mat	2
HG03098.mat	2
HG03520.mat	2
HG02011.pat	2
HG02554.pat	2
NA19036.mat	2
HG02622.mat	2
NA18906.mat	2
NA19317.pat	3
HG02717.pat	3
HG03540.pat	3
NA19331.pat	3
HG02622.pat	3
NA19239.mat	3
HG02011.mat	3
HG03452.pat	3
NA12329.pat	4
NA20509.mat	4
NA20509.pat	4
HG00358.pat	4
HG01114.pat	4
HG02282.pat	4
HG00171.pat	4
NA12329.mat	4
HG01352.pat	4
HG02145.mat	4
HG00735.pat	4
HG01978.pat	4
HG01099.pat	4
HG002.pat	4
HG01123.mat	4
HG00732.pat	4
NA19983.mat	4
HG02572.mat	4
NA19331.mat	4
HG01106.pat	4
HG03927.mat	4
HG02004.pat	4
HG02492.pat	4
HG03371.mat	4
HG01505.pat	4
HG03732.mat	4
HG04228.pat	4
HG02257.pat	5
NA19036.pat	5
HG01109.pat	5
HG02630.mat	5
HG01099.mat	6
HG01109.mat	6
HG02004.mat	6
HG01175.pat	6
HG01243.mat	6
HG03456.mat	7
HG03579.pat	7
HG03248.mat	7
NA19239.pat	7
HG02559.pat	7
HG03098.pat	7
HG01890.mat	7
HG02647.mat	7
NA19238.pat	7
HG00171.mat	8
HG03710.mat	8
HG02559.mat	8
HG03732.pat	8
HG01352.mat	8
HG00268.pat	8
HG04217.pat	8
NA18989.mat	8
HG00513.pat	8
HG02071.pat	8
HG00864.pat	8
HG02080.mat	8
HG01596.mat	8
HG01358.mat	8
HG01596.pat	8
HG03683.mat	8
HG03927.pat	8
HG00732.mat	8
HG01457.mat	8
CHM1.pat	9
HG03807.pat	9
HG04036.pat	9
CHM13.pat	9
NA19650.mat	9
HG03710.pat	9
HG02018.mat	9
HG02300.mat	9
HG03009.pat	9
HG04217.mat	9
HG00513.mat	9
HG02071.mat	9
HG02106.mat	9
HG02492.mat	9
NA20847.mat	9
HG03065.mat	10
NA19347.mat	10
HG02666.mat	10
HG03579.mat	10
HG02615.pat	10
NA21487.mat	10
HG03540.mat	11
HG02109.mat	11
NA19238.mat	11
HG02886.pat	11
NA19317.mat	11
HG02809.mat	11
NA20355.mat	11
HG02572.pat	11
NA19983.pat	11
HG02809.pat	12
NA19384.pat	12
HG02769.pat	12
NA19705.pat	12
HG01890.pat	13
HG03248.pat	13
NA19705.mat	13
HG02647.pat	13
HG02886.mat	13
HG03520.pat	13
HG02282.mat	13
HG03452.mat	13
HG02769.mat	13
HG03456.pat	13
HG02059.mat	14
HG01361.pat	14
HG01573.pat	14
HG02300.pat	14
HG01457.pat	14
HG01928.pat	14
HG02055.mat	14
HG02615.mat	14
