Haplotype	Cluster
HG03456.mat	1
NA19238.mat	1
NA19239.mat	1
NA20355.mat	1
HG02809.pat	1
HG03248.mat	1
HG03520.mat	1
HG03098.mat	1
HG02666.pat	1
HG02886.mat	1
HG02587.pat	1
HG02769.pat	1
HG01243.mat	1
HG03452.mat	1
NA19036.mat	1
HG02554.pat	1
HG02953.mat	1
HG03516.pat	1
HG02106.pat	2
HG02293.pat	2
HG01258.mat	2
HG02293.mat	2
HG01978.mat	2
HG01361.mat	2
HG02004.mat	2
HG01114.pat	2
HG01114.mat	2
HG02615.pat	2
CHM1.pat	2
HG01352.mat	2
CHM13.pat	2
HG01361.pat	2
HG04036.mat	2
HG002.mat	2
HG00268.mat	2
HG02080.pat	2
NA12329.mat	2
HG01928.mat	2
HG02059.mat	2
HG02071.mat	2
NA20847.pat	2
NA21487.mat	2
HG01596.mat	2
NA18534.mat	2
HG01109.mat	2
HG01573.mat	2
NA18989.mat	2
HG03009.mat	2
HG03807.pat	2
HG04217.mat	2
HG02018.mat	2
HG03927.pat	2
HG02059.pat	2
HG00096.mat	2
HG04228.mat	2
HG00171.pat	3
NA19650.mat	3
HG00268.pat	3
HG01505.mat	3
NA12329.pat	3
HG00171.mat	3
HG02011.mat	3
HG03732.mat	3
HG03807.mat	3
HG02106.mat	3
HG02300.mat	3
HG04036.pat	3
HG00358.mat	3
HG03683.pat	3
HG01952.mat	3
HG02300.pat	3
HG01457.pat	3
HG01573.pat	3
HG02018.pat	3
HG00621.mat	3
NA18939.mat	3
HG03927.mat	3
HG01099.mat	3
HG03683.mat	3
HG03710.mat	3
HG00438.pat	3
HG01352.pat	3
NA19129.pat	4
NA21487.pat	4
NA19129.mat	4
HG02559.pat	4
NA19036.pat	4
NA20355.pat	4
HG02559.mat	4
NA19317.mat	4
HG02769.mat	4
HG03452.pat	4
HG02282.pat	4
HG03371.mat	4
NA19983.mat	4
HG01891.mat	4
HG03453.pat	4
HG03520.pat	4
NA19238.pat	4
HG00731.pat	4
NA20509.mat	4
HG02282.mat	4
HG02486.mat	4
HG02615.mat	4
HG00735.mat	4
HG02109.mat	4
HG03516.mat	4
HG03579.mat	4
NA19983.pat	4
NA19384.mat	4
NA19705.mat	4
HG02717.mat	4
HG03065.mat	4
HG02587.mat	4
NA19331.mat	4
HG02809.mat	4
NA19347.mat	4
