Haplotype	15-mer	18-mer	25-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	630064	2109223	0	65388	4929	2	EUR	2809603
CHM13	721898	1993069	0	46751	9969	2	EUR	2771686
HG00171.h2	17835	2589179	0	28697	143608	3	EUR	2779318
HG002.h2	22932	4625121	530366	185276	39525	1	EUR	5403219
HG002.h1	17836	4194142	479454	184785	55320	1	EUR	4931536
HG00268.h1	295888	1262462	0	24294	13501	2	EUR	1596144
HG00513.h1	22932	3368368	0	27852	214191	3	EAS	3633342
HG00731.h2	17837	2127459	0	13075	63480	3	AMR	2221850
HG00732.h2	372431	1225804	0	10028	28243	2	AMR	1636505
HG00732.h1	637716	2115310	0	63198	7449	2	AMR	2823672
HG01099.h1	22933	2585922	0	38718	39590	3	AMR	2687162
HG01106.h2	12741	1592609	0	14092	131974	3	AMR	1751415
HG01352.h2	40770	4034739	0	45864	324556	3	AMR	4445928
HG01352.h1	22932	4197190	492184	194969	33129	1	AMR	4940403
HG01457.h2	40766	3292441	0	24799	127390	3	AMR	3485395
HG01457.h1	33124	4628222	534615	221278	30862	1	AMR	5448100
HG01505.h2	30575	2023607	0	17313	101963	3	EUR	2173457
HG01505.h1	10192	2518935	377624	95276	22418	1	EUR	3024444
HG01890.h2	25481	2601473	4243	57733	28853	3	AFR	2717782
HG01890.h1	0	1317355	0	21559	4876	3	AFR	1343789
HG02011.h2	33128	2512610	0	21733	176739	3	AFR	2744209
HG02011.h1	17836	4533457	462479	126038	37318	1	AFR	5177127
HG02059.h2	15290	2317094	0	16296	166913	3	EAS	2515592
HG02071.h1	12740	776391	0	6795	7967	3	EAS	803892
HG02282.h2	33128	2512610	0	21733	176739	3	AFR	2744209
HG02282.h1	0	2249916	156990	93275	33522	1	AFR	2533702
HG02293.h2	0	1289853	0	26993	4876	3	AMR	1321721
HG02293.h1	17837	2491220	0	21903	112067	3	AMR	2643026
HG02587.h2	12740	2748105	0	38058	366575	3	AFR	3165477
HG02587.h1	15288	2176559	0	50089	13973	3	AFR	2255908
HG02615.h2	17843	3029171	0	33461	181954	3	AFR	3262428
HG02647.h2	43314	2674831	8486	74097	61519	3	AFR	2862246
HG02666.h2	2548	1785284	0	19202	50225	3	AFR	1857258
HG02666.h1	10192	2806299	466728	137914	28956	1	AFR	3450088
HG02769.h1	35671	2457788	0	67943	16841	3	AFR	2578242
HG02809.h2	5096	1461249	33944	22428	29011	1	AFR	1551727
HG02953.h1	2548	2363094	0	24625	23102	3	AFR	2413368
HG03009.h2	22932	6563203	784938	276521	52268	1	SAS	7699861
HG03009.h1	15286	2060227	0	22582	172807	3	SAS	2270901
HG03065.h1	7648	2543225	0	23607	306021	3	AFR	2880500
HG03248.h2	45865	2497437	0	48409	24170	3	AFR	2615880
HG03371.h2	7643	1556001	0	15287	20100	3	AFR	1599030
HG03452.h1	12740	1791344	0	31448	10987	3	AFR	1846518
HG03456.h2	12740	2427287	0	43819	116042	3	AFR	2599887
HG03456.h1	7644	3613075	0	21916	271970	3	AFR	3914604
HG03520.h1	2549	3643669	0	24957	393247	3	AFR	4064421
HG03683.h2	15288	1775927	0	13065	97509	3	SAS	1901788
HG03683.h1	7644	1983837	0	9504	151548	3	SAS	2152532
HG03710.h2	15287	1983873	0	16465	118132	3	SAS	2133756
HG03732.h2	12741	1977745	0	29209	188643	3	SAS	2208337
HG03732.h1	545881	1812700	0	60292	7449	2	SAS	2426321
HG03807.h2	10191	2741957	0	24623	204599	3	SAS	2981369
HG03807.h1	2548	2485375	0	35326	16888	3	SAS	2540136
HG03927.h1	10192	1118896	4247	38908	19946	1	SAS	1192188
HG04217.h1	318859	1601788	0	45696	15994	2	SAS	1982336
HG04228.h2	17834	1898278	0	15610	123552	3	SAS	2055273
NA12329.h2	630063	2207016	0	68790	9969	2	EUR	2915837
NA12329.h1	28029	2417926	0	8325	72073	3	EUR	2526352
NA18534.h1	22933	2344562	0	24458	153932	3	EAS	2545884
NA18939.h2	0	1485475	0	25126	29240	3	EAS	1539840
NA18939.h1	28025	2791053	140019	85797	33515	1	EAS	3078408
NA18989.h2	28027	4148251	415813	117354	30125	1	EAS	4739569
NA19036.h1	2548	2045132	0	24637	65700	3	AFR	2138016
NA19129.h2	2548	2405879	0	43819	107033	3	AFR	2559278
NA19129.h1	2548	2115409	106071	102090	22950	1	AFR	2349067
NA19238.h2	40785	2972398	0	50139	107412	3	AFR	3170733
NA19239.h2	2548	253704	0	1189	4930	3	AFR	262370
NA19239.h1	25481	2659547	4243	57225	25850	3	AFR	2772345
NA19317.h2	7644	1736340	25458	29393	22949	1	AFR	1821783
NA19331.h2	5095	1763888	0	42980	34899	3	AFR	1846861
NA19347.h2	12740	2616781	97588	44350	27511	1	AFR	2798969
NA19347.h1	7644	3016935	0	23587	156999	3	AFR	3205164
NA19384.h2	22944	1418243	0	50129	8310	3	AFR	1499625
NA19384.h1	7644	1611009	21215	29393	27362	1	AFR	1696622
NA19650.h2	20383	2986654	0	34138	112952	3	AMR	3154126
NA19705.h2	38224	2735964	4243	72537	34947	3	AFR	2885914
NA19705.h1	17789	1952373	0	69173	52561	3	AFR	2091895
NA19836.h2	15287	3760099	0	65586	17097	3	AFR	3858068
NA19983.h2	0	1883069	144262	61333	38958	1	AFR	2127621
NA19983.h1	20385	3035409	0	30044	107536	3	AFR	3193373
NA20355.h2	7644	2626017	0	27524	28111	1	AFR	2689295
NA20355.h1	5096	2145984	186690	60648	20614	1	AFR	2419031
NA20509.h2	25483	2778472	0	33108	182654	3	EUR	3019716
NA21487.h1	632610	1800382	0	39419	15009	2	AFR	2487419
