Haplotype	Cluster	Contig_len
HG02647.h1	1	902789
HG02666.h2	1	897001
HG01457.h2	2	1092865
HG03456.h1	2	734884
NA19317.h1	2	1006950
HG03371.h1	2	595875
NA19347.h1	2	540535
NA18989.h1	3	679285
CHM13	3	317337
HG02492.h1	3	522533
HG00731.h2	4	352731
NA19650.h1	4	381493
HG00096.h1	4	323456
NA20509.h1	4	375875
HG01358.h1	4	311729
HG01505.h1	4	323295
HG03732.h1	4	547855
HG04228.h1	4	520680
HG03710.h1	4	1040678
HG00621.h1	4	263388
NA18534.h1	4	780925
HG03009.h1	4	1572678
HG00358.h1	4	1093385
NA19384.h1	4	270694
HG01890.h2	5	429451
HG03248.h1	5	837021
NA19239.h1	5	829495
