Haplotype	34-mer	35-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM13	277678	0	0	39660	3	EUR	317337
HG00096.h1	260316	47646	0	15495	4	EUR	323456
HG00358.h1	1018168	5956	29266	39996	4	EUR	1093385
HG00621.h1	231389	0	4255	27745	4	EAS	263388
HG00731.h2	289252	41690	0	21790	4	AMR	352731
HG01358.h1	254547	41688	0	15495	4	AMR	311729
HG01457.h2	989223	35730	4602	63311	2	AMR	1092865
HG01505.h1	266113	41688	0	15495	4	EUR	323295
HG01890.h2	387588	0	5614	36250	5	AFR	429451
HG02492.h1	468581	0	8511	45442	3	SAS	522533
HG02647.h1	711537	83342	34207	73704	1	AFR	902789
HG02666.h2	705749	83342	34207	73704	1	AFR	897001
HG03009.h1	1457836	65497	21603	27743	4	SAS	1572678
HG03248.h1	717333	0	0	119689	5	AFR	837021
HG03371.h1	538011	0	5613	52252	2	AFR	595875
HG03456.h1	682633	0	0	52252	2	AFR	734884
HG03710.h1	925629	0	64844	50206	4	SAS	1040678
HG03732.h1	462786	65496	4083	15491	4	SAS	547855
HG04228.h1	451251	47642	6297	15491	4	SAS	520680
NA18534.h1	746257	0	0	34669	4	EAS	780925
NA18989.h1	584299	0	0	94987	3	EAS	679285
NA19239.h1	711553	0	10548	107395	5	AFR	829495
NA19317.h1	937174	11912	5613	52252	2	AFR	1006950
NA19347.h1	462803	11912	5613	60208	2	AFR	540535
NA19384.h1	242953	0	0	27742	4	AFR	270694
NA19650.h1	312401	53598	0	15495	4	AMR	381493
NA20509.h1	300826	59555	0	15495	4	EUR	375875
