Haplotype	Cluster	Contig_len
HG03456.h2	1	2613100
NA19238.h2	1	2753793
NA19239.h2	1	2665254
NA20355.h2	1	2644398
HG02809.h1	1	2105163
HG03248.h2	1	3096660
HG03520.h2	1	1996768
HG03098.h2	1	1581190
HG02666.h1	1	1678149
HG02886.h2	1	1669305
HG02587.h1	1	2709228
HG02769.h1	1	2807711
HG01243.h2	1	2964626
HG03452.h2	1	2519213
NA19036.h2	1	2297231
HG02554.h1	1	2677140
HG02953.h2	1	3127119
HG03516.h1	1	2726110
HG02106.h1	2	3113765
HG02293.h1	2	3167585
HG01258.h2	2	3468778
HG02293.h2	2	3292339
HG01978.h2	2	3269589
HG01361.h2	2	3256572
HG02004.h2	2	3175869
HG01114.h1	2	2865557
HG01114.h2	2	3069219
HG02615.h1	2	2829827
CHM1	2	3318373
HG01352.h2	2	2930552
CHM13	2	3107432
HG01361.h1	2	3219313
HG04036.h2	2	3833196
HG002.h2	2	3112224
HG00268.h2	2	2932299
HG02080.h1	2	3205254
NA12329.h2	2	2924956
HG01928.h2	2	4025879
HG02059.h2	2	2929214
HG02071.h2	2	3010267
NA20847.h1	2	3274440
NA21487.h2	2	3236821
HG01596.h2	2	3702648
NA18534.h2	2	3417070
HG01109.h2	2	2488266
HG01573.h2	2	3351918
NA18989.h2	2	2642323
HG03009.h2	2	3625769
HG03807.h1	2	3275287
HG04217.h2	2	3224389
HG02018.h2	2	3431630
HG03927.h1	2	2713765
HG02059.h1	2	2268090
HG00096.h2	2	3359542
HG04228.h2	2	3035541
HG00171.h1	3	3344836
NA19650.h2	3	3143465
HG00268.h1	3	3600983
HG01505.h2	3	3516149
NA12329.h1	3	4467852
HG00171.h2	3	2949839
HG02011.h2	3	3503923
HG03732.h2	3	3950726
HG03807.h2	3	4493717
HG02106.h2	3	3797856
HG02300.h2	3	4249015
HG04036.h1	3	3518163
HG00358.h2	3	3878633
HG03683.h1	3	3404894
HG01952.h2	3	3628194
HG02300.h1	3	1968199
HG01457.h1	3	3653775
HG01573.h1	3	4197290
HG02018.h1	3	3721530
HG00621.h2	3	3428761
NA18939.h2	3	4019389
HG03927.h2	3	3849400
HG01099.h2	3	2165255
HG03683.h2	3	3130001
HG03710.h2	3	4182009
HG00438.h1	3	2592767
HG01352.h1	3	3961534
NA19129.h1	4	2289664
NA21487.h1	4	2626134
NA19129.h2	4	2998763
HG02559.h1	4	3057991
NA19036.h1	4	3027233
NA20355.h1	4	3268808
HG02559.h2	4	3297358
NA19317.h2	4	3269279
HG02769.h2	4	3249047
HG03452.h1	4	3015933
HG02282.h1	4	2616580
HG03371.h2	4	3506137
NA19983.h2	4	3152927
HG01891.h2	4	2724907
HG03453.h1	4	2595570
HG03520.h1	4	2784191
NA19238.h1	4	2975716
HG00731.h1	4	3493242
NA20509.h2	4	3498845
HG02282.h2	4	2700155
HG02486.h2	4	2346750
HG02615.h2	4	2108346
HG00735.h2	4	1953084
HG02109.h2	4	2156192
HG03516.h2	4	1771996
HG03579.h2	4	1788784
NA19983.h1	4	2933235
NA19384.h2	4	2076618
NA19705.h2	4	2516862
HG02717.h2	4	1807576
HG03065.h2	4	2326196
HG02587.h2	4	3158350
NA19331.h2	4	2868384
HG02809.h2	4	3684818
NA19347.h2	4	3449384
