Haplotype	Cluster	Contig_len
HG02647.pat	1	902789
HG02666.mat	1	897001
HG01457.mat	2	1092865
HG03456.pat	2	734884
NA19317.pat	2	1006950
HG03371.pat	2	595875
NA19347.pat	2	540535
NA18989.pat	3	679285
CHM13.pat	3	317337
HG02492.pat	3	522533
HG00731.mat	4	352731
NA19650.pat	4	381493
HG00096.pat	4	323456
NA20509.pat	4	375875
HG01358.pat	4	311729
HG01505.pat	4	323295
HG03732.pat	4	547855
HG04228.pat	4	520680
HG03710.pat	4	1040678
HG00621.pat	4	263388
NA18534.pat	4	780925
HG03009.pat	4	1572678
HG00358.pat	4	1093385
NA19384.pat	4	270694
HG01890.mat	5	429451
HG03248.pat	5	837021
NA19239.pat	5	829495
