Haplotype	Cluster	Contig_len
HG03456.mat	1	2613100
NA19238.mat	1	2753793
NA19239.mat	1	2665254
NA20355.mat	1	2644398
HG02809.pat	1	2105163
HG03248.mat	1	3096660
HG03520.mat	1	1996768
HG03098.mat	1	1581190
HG02666.pat	1	1678149
HG02886.mat	1	1669305
HG02587.pat	1	2709228
HG02769.pat	1	2807711
HG01243.mat	1	2964626
HG03452.mat	1	2519213
NA19036.mat	1	2297231
HG02554.pat	1	2677140
HG02953.mat	1	3127119
HG03516.pat	1	2726110
HG02106.pat	2	3113765
HG02293.pat	2	3167585
HG01258.mat	2	3468778
HG02293.mat	2	3292339
HG01978.mat	2	3269589
HG01361.mat	2	3256572
HG02004.mat	2	3175869
HG01114.pat	2	2865557
HG01114.mat	2	3069219
HG02615.pat	2	2829827
CHM1.pat	2	3318373
HG01352.mat	2	2930552
CHM13.pat	2	3107432
HG01361.pat	2	3219313
HG04036.mat	2	3833196
HG002.mat	2	3112224
HG00268.mat	2	2932299
HG02080.pat	2	3205254
NA12329.mat	2	2924956
HG01928.mat	2	4025879
HG02059.mat	2	2929214
HG02071.mat	2	3010267
NA20847.pat	2	3274440
NA21487.mat	2	3236821
HG01596.mat	2	3702648
NA18534.mat	2	3417070
HG01109.mat	2	2488266
HG01573.mat	2	3351918
NA18989.mat	2	2642323
HG03009.mat	2	3625769
HG03807.pat	2	3275287
HG04217.mat	2	3224389
HG02018.mat	2	3431630
HG03927.pat	2	2713765
HG02059.pat	2	2268090
HG00096.mat	2	3359542
HG04228.mat	2	3035541
HG00171.pat	3	3344836
NA19650.mat	3	3143465
HG00268.pat	3	3600983
HG01505.mat	3	3516149
NA12329.pat	3	4467852
HG00171.mat	3	2949839
HG02011.mat	3	3503923
HG03732.mat	3	3950726
HG03807.mat	3	4493717
HG02106.mat	3	3797856
HG02300.mat	3	4249015
HG04036.pat	3	3518163
HG00358.mat	3	3878633
HG03683.pat	3	3404894
HG01952.mat	3	3628194
HG02300.pat	3	1968199
HG01457.pat	3	3653775
HG01573.pat	3	4197290
HG02018.pat	3	3721530
HG00621.mat	3	3428761
NA18939.mat	3	4019389
HG03927.mat	3	3849400
HG01099.mat	3	2165255
HG03683.mat	3	3130001
HG03710.mat	3	4182009
HG00438.pat	3	2592767
HG01352.pat	3	3961534
NA19129.pat	4	2289664
NA21487.pat	4	2626134
NA19129.mat	4	2998763
HG02559.pat	4	3057991
NA19036.pat	4	3027233
NA20355.pat	4	3268808
HG02559.mat	4	3297358
NA19317.mat	4	3269279
HG02769.mat	4	3249047
HG03452.pat	4	3015933
HG02282.pat	4	2616580
HG03371.mat	4	3506137
NA19983.mat	4	3152927
HG01891.mat	4	2724907
HG03453.pat	4	2595570
HG03520.pat	4	2784191
NA19238.pat	4	2975716
HG00731.pat	4	3493242
NA20509.mat	4	3498845
HG02282.mat	4	2700155
HG02486.mat	4	2346750
HG02615.mat	4	2108346
HG00735.mat	4	1953084
HG02109.mat	4	2156192
HG03516.mat	4	1771996
HG03579.mat	4	1788784
NA19983.pat	4	2933235
NA19384.mat	4	2076618
NA19705.mat	4	2516862
HG02717.mat	4	1807576
HG03065.mat	4	2326196
HG02587.mat	4	3158350
NA19331.mat	4	2868384
HG02809.mat	4	3684818
NA19347.mat	4	3449384
