Haplotype	1-mer	3-mer	11-mer	12-mer	13-mer	15-mer	16-mer	17-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	86333	695052	412615	2038	3058283	214036	16297	17315	154915	37263	1	EUR	4694146
CHM13	98310	609284	453650	4080	2659930	173273	8150	8653	108258	14246	1	EUR	4137833
HG00096.h2	91467	299621	421861	4076	1261299	124848	5432	5780	66424	22518	1	EUR	2303325
HG00171.h2	88908	474851	436857	6113	2027031	201285	10865	11549	132988	35042	1	EUR	3425488
HG00171.h1	95413	284457	438710	2038	1199401	198738	19014	8661	121807	41569	1	EUR	2409807
HG002.h2	96262	485278	433096	2039	2139885	201286	10866	11547	129821	30329	1	EUR	3540408
HG002.h1	112148	644400	490911	6118	2801529	201298	13576	8653	108447	21394	1	EUR	4408473
HG00268.h2	109747	688126	524614	8159	2974068	262429	19008	17311	136359	54068	1	EUR	4793888
HG00268.h1	78990	390353	373372	2038	1653015	231893	21733	14430	144056	20042	1	EUR	2929921
HG00358.h2	101391	743834	464829	6117	3312870	382199	76062	57691	241883	45011	1	EUR	5431886
HG00358.h1	115395	661888	505872	10205	2914378	208925	10866	5769	141781	24927	1	EUR	4600005
HG00731.h2	98650	654563	524691	8162	2892297	417855	27156	31731	199700	59619	1	AMR	4914423
HG00731.h1	67184	64336	270583	40720	1336374	277671	540456	11535	52227	16467	2	AMR	2677552
HG01114.h2	108912	397863	481608	12242	1710617	206395	13582	14422	151978	23051	1	AMR	3120669
HG01114.h1	40866	55789	167948	138405	1450743	249641	179258	8652	45812	25773	2	AMR	2362886
HG01258.h2	83259	84937	320983	44774	1059145	343959	1398700	11541	62081	17484	3	AMR	3426862
HG01457.h2	86855	542075	436883	4076	2370048	224215	10864	11549	121257	45130	1	AMR	3852951
HG01457.h1	97968	520873	403128	8158	2288186	155449	2715	2892	101376	18951	1	AMR	3599695
HG01573.h2	108745	438023	507812	10200	1861083	216593	16297	11537	154358	26588	1	AMR	3351235
HG01573.h1	78315	28672	302292	14254	1176910	137570	619229	2884	42465	17807	2	AMR	2420397
HG01890.h2	83102	451979	360357	2042	1960657	180884	21726	23086	104315	25896	1	AFR	3214043
HG01890.h1	106859	436020	464770	4076	1905319	244608	5431	11549	127305	37185	1	AFR	3343121
HG02011.h2	143634	10723	552320	52895	1127926	247084	1170573	92228	226330	43767	3	AFR	3667479
HG02011.h1	83936	619388	440677	0	2662129	226777	27160	14427	90575	23540	1	AFR	4188608
HG02018.h1	76592	57287	302306	134326	1827619	231834	659954	11533	71119	18187	2	EAS	3390756
HG02059.h2	111821	869667	575037	12237	3764135	349037	21727	28867	222714	64572	1	EAS	6019813
HG02059.h1	83087	580053	364007	6123	2571381	244594	13581	14433	121405	18080	1	EAS	4016743
HG02071.h2	86000	73373	326611	63102	1114058	394915	1613219	14425	78061	14505	3	EAS	3778268
HG02257.h2	81040	387352	371493	2038	1655237	244628	16298	14430	156293	31169	1	AFR	2959977
HG02282.h2	76427	338330	321024	0	1577633	43284	0	0	67835	8760	3	AFR	2433292
HG02554.h2	97115	543420	448029	4076	2352335	173265	8147	11549	157789	42615	1	AFR	3838339
HG02554.h1	109259	70382	412447	38685	457494	308200	217291	25955	70930	19154	3	AFR	1729796
HG02587.h2	86517	523024	410810	4080	2274906	242025	13579	8656	132887	36934	1	AFR	3733417
HG02615.h2	243832	7033	899308	130242	980489	78988	475274	80753	57288	4080	5	AFR	2957286
HG02615.h1	89079	431130	453728	4076	1838907	157973	16295	11537	84193	18719	1	AFR	3105636
HG02666.h2	135416	9574	485117	73258	980576	89163	230821	34608	56611	9319	5	AFR	2104462
HG02723.h1	82932	41695	313488	4075	544823	290425	592056	135484	137036	43460	4	AFR	2185473
HG02953.h2	161238	16128	610156	134314	1529195	275182	1713715	49028	75637	16775	5	AFR	4581367
HG03009.h2	103948	71365	386289	54950	924544	313382	1336209	20191	66714	12778	3	SAS	3290369
HG03009.h1	88905	581738	472421	8155	2480608	244594	10860	17319	121652	29833	1	SAS	4056084
HG03065.h2	186037	13081	695973	109894	1090764	234409	1398698	34608	46309	16968	5	AFR	3826740
HG03065.h1	71469	67388	291131	309341	1746162	264977	1051084	11536	68018	20810	3	AFR	3901915
HG03248.h2	99858	41697	382548	105796	1445663	361622	706041	195821	230047	36803	4	AFR	3605895
HG03248.h1	71128	71925	294894	179102	1695567	315929	1613271	11536	69027	19289	3	AFR	4341667
HG03371.h2	53346	56834	216495	229987	1688681	259876	966871	11537	73666	19406	3	AFR	3576698
HG03371.h1	197148	11556	735158	113961	1017978	165601	1412262	63449	98500	127963	5	AFR	3943575
HG03452.h1	83946	397540	509897	0	1575618	193655	27160	5782	79987	9648	1	AFR	2883232
