Haplotype	Cluster	Contig_len
HG03452.mat	1	1584351
NA20355.mat	1	1650661
HG02809.pat	1	2280937
NA21309.pat	1	2372219
HG02809.mat	1	2637062
HG02554.mat	1	2159345
HG02615.mat	1	1820929
HG02769.mat	1	1785693
HG01978.pat	2	1483257
HG01258.mat	2	1447965
HG02300.pat	2	1548117
HG03248.mat	2	1047769
HG04217.mat	2	1476774
NA18939.mat	2	1820521
NA20847.pat	2	1562493
HG01071.mat	2	1386830
HG01352.pat	2	1532871
HG00358.pat	2	847303
HG02071.pat	2	831657
HG03492.pat	2	802989
HG01352.mat	2	885132
HG00741.mat	2	742985
HG02106.pat	2	776317
HG01175.mat	2	1752729
HG01358.mat	2	623162
NA20847.mat	2	647122
HG04228.pat	2	1444199
HG01258.pat	2	1396625
HG02492.mat	2	1194167
HG03807.pat	2	1735004
HG01928.pat	2	1106114
NA20509.mat	2	2190681
HG00171.mat	2	1504250
HG01361.mat	2	835261
HG00673.mat	2	1424079
NA18989.pat	2	1332295
HG02282.pat	2	1449804
HG03732.mat	2	1586838
NA20509.pat	2	1485377
HG03710.mat	2	1651890
HG01123.pat	2	1097052
HG02059.pat	2	1258293
HG00731.mat	2	1644790
HG01505.pat	2	1699469
HG02018.mat	2	1501131
NA19650.pat	2	1644781
HG00513.mat	2	1646785
HG01573.pat	2	1460959
HG01505.mat	2	2109899
HG01928.mat	2	1646745
HG02148.pat	2	1946007
HG00741.pat	2	1802662
HG01573.mat	2	1875374
HG00621.mat	2	1353224
HG01457.mat	2	1513560
HG01457.pat	2	1367743
HG02106.mat	2	1512181
HG02293.pat	2	1395894
HG00512.mat	2	1752062
HG005.pat	2	1285564
HG01596.mat	2	1351448
HG00513.pat	2	1517049
NA18534.mat	2	2024064
HG02293.mat	3	1566557
NA18989.mat	3	1403076
HG02004.pat	3	1380489
HG00732.mat	3	1338811
HG02300.mat	3	1522945
HG00864.pat	3	1633430
HG02059.mat	3	1594149
HG03516.pat	3	2610482
HG01890.mat	3	2100709
HG02486.pat	3	2047459
HG02769.pat	3	2055019
HG02953.pat	4	2282376
HG03520.pat	4	2248845
HG02587.pat	4	1674430
NA19347.mat	4	1127873
HG01099.mat	4	1904061
HG03456.pat	4	1840890
NA20129.pat	4	1924310
HG00438.mat	5	3502590
HG02071.mat	5	3386192
HG01358.pat	5	3923017
NA18534.pat	5	3877321
NA18906.pat	5	697369
NA19347.pat	5	594178
HG02630.mat	5	3546858
HG02615.pat	5	3531984
HG03098.mat	5	2795345
HG03371.mat	6	1888882
HG02666.pat	6	1229267
NA21309.mat	6	1371519
HG02257.pat	6	1238042
HG02282.mat	6	1321869
HG02587.mat	7	3216900
NA19238.pat	7	1960792
HG02145.pat	7	1747543
HG02055.pat	7	2200208
NA19239.mat	7	2180527
HG03248.pat	8	1384256
HG03456.mat	8	1289866
NA19331.mat	8	1274059
NA19317.mat	8	1720245
NA19331.pat	8	1552890
NA19384.pat	8	1606958
NA20355.pat	9	2635560
HG01890.pat	9	2483127
HG02666.mat	9	2754028
HG02647.mat	9	1676487
HG02647.pat	9	1606219
HG02554.pat	9	992803
HG03540.mat	9	1157922
HG03371.pat	9	981074
HG03065.pat	9	1090711
HG03486.pat	9	1130798
HG03683.pat	10	465916
HG002.mat	10	1298881
HG01114.mat	10	1907090
CHM13.pat	10	1960266
HG00096.mat	10	1831444
HG03009.pat	10	1839866
NA19983.mat	11	2002060
HG02886.mat	11	2093311
HG03065.mat	11	1712180
NA19983.pat	11	1875302
HG03009.mat	12	1778567
NA19238.mat	12	1098108
NA19317.pat	12	1812792
HG02257.mat	13	3062509
NA19705.mat	13	2531905
NA19036.pat	13	1049404
HG02011.pat	13	2080609
NA19036.mat	13	2301823
CHM1.pat	13	2545397
HG00268.pat	13	995150
HG03540.pat	13	1127003
