Haplotype	5-mer	9-mer	11-mer	15-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	13616	10701	1078706	22933	56594	44113	1	EUR	1226662
CHM13	1702	16808	295402	5100	15990	6598	1	EUR	341599
HG00096.h2	4255	22923	1271252	15294	32128	26207	1	EUR	1372058
HG00171.h2	10212	10699	1405902	58626	47417	33480	1	EUR	1566335
HG00171.h1	27229	36677	1318033	30592	43852	17927	1	EUR	1474309
HG002.h2	8509	24453	598270	15295	34335	23525	1	EUR	704386
HG002.h1	8509	16811	1149760	15294	46911	40072	1	EUR	1277356
HG00268.h2	4255	35147	1138511	7646	29242	26210	1	EUR	1241010
HG00268.h1	4255	4584	1245033	22936	45556	20789	1	EUR	1343152
HG00358.h2	6808	18339	1147854	15293	35017	28402	1	EUR	1251712
HG00358.h1	5106	1531	426250	5096	17681	24008	1	EUR	479671
HG00438.h2	1700	1529	1211195	275347	192178	79954	4	EAS	1761902
HG005.h1	10212	6117	1149700	25492	69528	31056	1	EAS	1292104
HG00513.h2	850	0	1137982	412983	191363	93624	4	EAS	1836801
HG00731.h2	8509	7640	985261	25495	29399	21817	1	AMR	1078120
HG00731.h1	11062	1531	731000	12748	37733	26207	1	AMR	820280
HG00732.h2	9360	15280	515975	22945	21409	21302	1	AMR	606270
HG00732.h1	11062	1531	730992	12748	37733	26215	1	AMR	820280
HG00735.h2	1701	0	917749	68827	56953	26543	1	AMR	1071772
HG00741.h2	9361	1531	557135	17838	14620	28077	1	AMR	628561
HG00741.h1	9358	9171	753417	17846	24981	26207	1	AMR	840979
HG00864.h2	10212	16805	1196487	33145	45383	16220	1	EAS	1318251
HG00864.h1	850	1529	1482317	461436	181171	70663	4	EAS	2197965
HG01071.h2	7659	7646	575837	15298	20401	32292	1	AMR	659132
HG01071.h1	10211	16811	871202	22944	24808	34504	1	AMR	980479
HG01099.h2	19573	16811	1131052	28046	37055	17927	1	AMR	1250463
HG01099.h1	8510	12227	936640	20395	40272	25194	1	AMR	1043237
HG01114.h2	13616	10696	308482	2550	15473	6598	1	AMR	357414
HG01114.h1	7658	19864	504755	28044	18693	22322	1	AMR	601335
HG01243.h2	0	10712	1381525	63734	57626	21968	1	AMR	1535564
HG01352.h2	10211	13755	899233	25495	35849	26040	1	AMR	1010582
HG01352.h1	28081	13758	1613445	30589	42657	14538	1	AMR	1743067
HG01358.h2	851	13755	201917	7650	11391	6598	1	AMR	242161
HG01358.h1	3404	3061	865615	17845	28208	21483	1	AMR	939615
HG01457.h2	4255	13752	1377728	43329	42665	20627	1	AMR	1502355
HG01505.h1	1702	12229	551499	17846	19715	26383	1	EUR	629373
HG01573.h2	10212	9168	839405	22945	36535	30314	1	AMR	948578
HG01573.h1	17867	18336	1648922	53531	53534	14529	1	AMR	1806718
HG01596.h2	5957	19869	1060049	30590	55915	26215	1	EAS	1198594
HG01596.h1	3122759	21440	211172	12743	32468	62466	2	EAS	3463047
HG01890.h2	9361	9168	1189013	28043	68148	29099	1	AFR	1332831
HG01890.h1	5951	4591	1639039	341656	136603	55811	4	AFR	2183650
HG02011.h2	16169	15283	1252591	33138	44192	25865	1	AFR	1387237
HG02011.h1	5951	1530	1605383	244742	113329	41532	4	AFR	2012466
HG02018.h1	1700	1529	1321523	387530	222100	78092	4	EAS	2012473
HG02059.h2	8510	6115	1119818	33141	60856	25527	1	EAS	1253966
HG02071.h2	3400	1530	1231586	275373	169621	93800	4	EAS	1775309
HG02071.h1	6808	16808	1329075	43336	41641	19965	1	EAS	1457632
HG02257.h2	13609	13775	1509281	660274	246735	56319	3	AFR	2499992
HG02282.h2	8510	10698	1260075	28046	64406	30114	1	AFR	1401848
HG02282.h1	7651	4594	1766315	280454	155641	55811	4	AFR	2270465
HG02293.h2	28928	21391	1557345	43335	48263	14526	1	AMR	1713787
HG02293.h1	12765	16811	1011330	28044	50145	31787	1	AMR	1150881
HG02300.h1	4255	1531	686064	5096	25330	14205	1	AMR	736480
HG02492.h2	10212	15286	932905	25492	25666	34159	1	SAS	1043719
HG02492.h1	11914	13760	1316165	50983	55578	19271	1	SAS	1467670
HG02554.h2	2553	6124	426267	5100	28890	16240	1	AFR	485173
HG02554.h1	851	1531	1057391	254921	166725	35370	4	AFR	1516788
HG02559.h2	1702	18342	218740	2550	17510	6598	1	AFR	265441
HG02587.h2	2552	1529	1439633	33133	44026	23994	1	AFR	1544866
HG02587.h1	3404	12239	1245025	40790	53721	24187	1	AFR	1379365
HG02615.h2	1701	1527	964528	68829	42158	25862	1	AFR	1104604
HG02615.h1	8510	10696	1196493	25495	60159	29096	1	AFR	1330448
HG02622.h1	1701	0	1005625	68828	52020	25862	1	AFR	1154035
HG02630.h2	1702	7655	362702	7650	36033	18432	1	AFR	434173
HG02666.h2	851	3059	848797	35657	26174	32837	1	AFR	947374
HG02666.h1	2551	4596	2133345	63720	106918	26214	1	AFR	2337343
HG02769.h2	17002	10705	1730626	275293	183421	53097	5	AFR	2270143
HG02769.h1	4253	3060	1994759	94267	58811	27688	1	AFR	2182837
HG02809.h2	4251	3060	2363102	68794	67457	19001	1	AFR	2525664
HG02809.h1	3404	9183	1183338	40790	43860	22317	1	AFR	1302891
HG02886.h2	15309	9184	1485108	596516	217809	55201	3	AFR	2379126
HG02886.h1	1701	7648	540300	20380	16146	9147	1	AFR	595321
HG02953.h2	2552	0	123358	7645	35486	1567331	1	AFR	1736371
HG03009.h2	2551	1531	1340327	303368	91115	73038	4	SAS	1811929
HG03009.h1	793847	26015	314077	7649	109727	109146	2	SAS	1360460
HG03065.h2	8500	9185	1420375	288026	308677	62814	4	AFR	2097576
HG03065.h1	28893	4590	987124	94346	87507	55555	1	AFR	1258014
HG03098.h2	1702	0	467416	17839	7646	25860	1	AFR	520462
HG03248.h2	7659	3060	1236990	300797	168254	61531	5	AFR	1778290
HG03248.h1	7659	1528	1546014	56072	76832	32679	1	AFR	1720783
HG03371.h2	5106	4594	1824625	221824	71579	54952	4	AFR	2182679
HG03371.h1	7655	6124	946032	974070	319930	39501	5	AFR	2293311
HG03452.h2	851	7648	540303	20380	19035	9147	1	AFR	597363
HG03452.h1	8507	10710	2013094	420655	232988	36308	5	AFR	2722261
HG03456.h2	7657	18352	1816397	209011	112116	45921	5	AFR	2209453
HG03520.h2	0	1530	207531	12725	48742	393812	1	AFR	664339
HG03520.h1	3404	15298	1211374	43339	47088	22317	1	AFR	1342819
HG03683.h2	7658	7647	1628246	35689	66123	22997	1	SAS	1768359
HG03683.h1	2073370	10714	20562	5096	24119	25285	2	SAS	2159145
HG03710.h2	1401562	16836	1315116	104433	351160	81769	2	SAS	3270875
HG03710.h1	8509	21393	1084300	22943	47419	22142	1	SAS	1206705
HG03732.h2	12765	13758	1342357	58631	45386	19613	1	SAS	1492509
HG03807.h2	2103880	26021	170067	0	38411	65425	2	SAS	2403803
HG03807.h1	4255	12228	1247050	33143	44371	26219	1	SAS	1367265
HG03927.h2	1702	18342	1273094	20387	31105	19783	1	SAS	1364412
HG03927.h1	22977	18351	1194690	25492	30596	33462	1	SAS	1325567
HG04036.h2	9360	21397	1093659	22943	41127	22142	1	SAS	1210627
HG04036.h1	5957	21395	800143	38240	29577	29254	1	SAS	924565
HG04217.h2	11063	10699	1173985	33142	41819	28070	1	SAS	1298777
HG04217.h1	1702	16814	256139	2550	13094	6598	1	SAS	296896
HG04228.h2	2550	3057	1317689	341596	205613	74356	4	SAS	1944860
HG04228.h1	1700	0	1386888	412980	178099	85004	4	SAS	2064670
NA12329.h2	1701	1531	1043051	50982	49469	20796	1	EUR	1167529
NA12329.h1	2551	0	919687	76481	49804	27751	1	EUR	1076273
NA18534.h2	13616	12230	1157205	35692	53204	25869	1	EAS	1297815
NA18534.h1	5957	12232	497298	30594	24817	26894	1	EAS	597791
NA18906.h2	15316	3059	2013494	40788	107420	29910	1	AFR	2209986
NA18906.h1	2550	3062	1235334	252342	203299	64667	4	AFR	1761253
NA18939.h2	5956	9174	803859	22942	36208	25873	1	EAS	904011
NA18939.h1	3402	3060	1194487	198886	123396	56472	4	EAS	1579702
NA18989.h2	5957	10699	996464	15294	31449	22323	1	EAS	1082185
NA18989.h1	6808	12230	1099226	43331	46068	30619	1	EAS	1238281
NA19129.h2	2553	6124	437490	2550	27700	16237	1	AFR	492653
NA19129.h1	1702	22929	1016965	58642	28724	21315	1	AFR	1150276
NA19239.h2	1700	18348	474802	84154	9690	36975	5	AFR	625668
NA19317.h2	7659	4592	1268833	300808	145987	55623	5	AFR	1783501
NA19317.h1	5101	3061	1091865	214174	91609	67550	4	AFR	1473359
NA19331.h2	17007	7653	1615547	642417	198911	50811	3	AFR	2532345
NA19331.h1	8506	9180	1970052	423209	254218	31918	5	AFR	2697082
NA19347.h2	22941	4590	874955	91791	92451	53019	1	AFR	1139746
NA19347.h1	16156	22943	1270880	285526	163723	38680	5	AFR	1797907
NA19384.h2	5957	4589	1076824	48437	53036	21820	1	AFR	1210662
NA19384.h1	5957	0	1211461	7646	55751	29756	1	AFR	1310570
NA19650.h2	1702	15283	229959	2550	9525	6598	1	AMR	265616
NA19650.h1	7659	13758	200063	0	11904	6598	1	AMR	239981
NA19705.h2	7659	4592	1195907	318649	152269	58200	5	AFR	1737275
NA19705.h1	1701	1530	1933128	76429	58803	11375	1	AFR	2082965
NA19836.h2	15306	10709	1349006	211550	161379	64146	5	AFR	1812095
NA19983.h2	4255	3061	987133	7648	27018	23687	1	AFR	1052801
NA20355.h2	8502	13766	1586705	147880	88012	51155	5	AFR	1896019
NA20355.h1	851	6117	957228	38207	27364	30461	1	AFR	1060227
NA20509.h2	9359	21392	491668	17844	20897	22322	1	EUR	583481
NA20509.h1	17870	7641	1493757	38245	61352	20125	1	EUR	1638989
NA20847.h2	29783	18342	1261964	30593	39605	23507	1	SAS	1403793
NA20847.h1	5957	12223	1157194	33140	29407	15058	1	SAS	1252978
