Haplotype	10-mer	14-mer	16-mer	18-mer	20-mer	26-mer	22-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	5082	52293	1843449	107122	40809	13248	0	199052	49538	1	EUR	2310592
CHM13	10177	66561	1783626	149967	20408	4415	7476	86276	44896	1	EUR	2173801
HG00096.h2	17008	161620	1753622	296905	57802	282787	0	130193	12580	8	EUR	2712516
HG00096.h1	11892	66560	2041911	21418	13600	256329	7475	821139	16176	3	EUR	3256499
HG00171.h2	13576	59424	1954906	159155	30613	8835	3739	90349	44256	1	EUR	2364852
HG00171.h1	1701	54692	2601874	24475	6796	225343	14958	205119	31794	2	EUR	3166751
HG002.h2	5082	52293	1843448	110182	40809	13248	0	199052	49539	1	EUR	2313652
HG002.h1	3402	49923	2183203	64276	23773	260688	7480	183402	60087	2	EUR	2836233
HG00268.h2	6804	61808	2797619	42850	27160	287185	7477	201411	59547	2	EUR	3491860
HG00268.h1	15291	99831	2275750	67357	17002	79555	22426	436320	31310	3	EUR	3044841
HG00358.h2	10191	66560	655208	27543	13612	13256	14955	23624	9535	3	EUR	834483
HG00358.h1	16980	42794	1582402	48959	20398	247499	33643	795802	11758	3	EUR	2800234
HG00512.h1	23774	166400	3830994	70398	10203	172366	26169	748349	21260	3	EAS	5069912
HG00731.h2	8483	59432	1925025	128544	30609	13249	0	238304	41583	1	AMR	2445228
HG00731.h1	5103	59456	1745628	48965	3402	17679	14958	51640	4079	4	AMR	1950909
HG00732.h2	18681	64190	1723791	24478	33988	331454	26169	877563	15326	3	AMR	3115639
HG00732.h1	11880	42785	1813536	110182	30602	17666	0	205174	31313	1	AMR	2263137
HG00864.h2	5098	76081	3403958	24483	30576	247440	14954	191198	46061	2	EAS	4039848
HG00864.h1	1701	85585	3246267	6121	16993	220902	14956	204988	38597	2	EAS	3836109
HG01099.h1	37407	199680	2392443	272412	84997	251863	3744	175909	62971	8	AMR	3481425
HG01106.h2	11875	49926	1903257	146906	23809	8831	3739	94089	45629	1	AMR	2288060
HG01109.h1	27199	121224	2221178	64262	23792	26520	29907	116852	26516	6	AMR	2657449
HG01243.h1	8480	35656	1460118	107128	20413	13250	7477	80170	17343	1	AMR	1750034
HG01352.h2	15266	71324	1859732	134658	27207	8831	3739	100203	58232	1	AMR	2279191
HG01352.h1	5088	49916	1587877	128550	40810	22084	0	154239	28060	1	AMR	2016623
HG01457.h2	8480	49922	1582424	131607	40810	17665	0	203131	39019	1	AMR	2073057
HG01457.h1	3397	52314	2577419	15295	37379	203247	22428	128149	53437	2	AMR	3093064
HG01505.h2	17006	142620	1723716	266291	64606	265117	3739	135300	19399	8	EUR	2637793
HG01505.h1	11875	57057	1786343	113225	23811	8831	3739	96480	45770	1	EUR	2147130
HG01573.h2	18675	66562	2033742	125479	37400	35333	0	220325	42768	1	AMR	2580283
HG01573.h1	13576	57050	1922298	153033	30608	17675	7481	78795	47445	1	AMR	2327960
HG01890.h2	16993	95110	2368049	42831	13596	44196	63540	249274	52446	5	AFR	2946034
HG01890.h1	13595	111729	2691730	45919	17007	39762	11221	113324	13586	4	AFR	3057872
HG01952.h1	5082	45162	1601459	131609	44209	26498	3742	162043	22487	1	AMR	2042290
HG01978.h1	6799	71340	3102046	39760	10189	260669	22434	257291	45698	2	AMR	3816225
HG02004.h2	3397	71336	3134676	33650	16979	247413	14954	251362	47574	2	AMR	3821340
HG02004.h1	3402	45166	2278376	42850	30555	309289	14954	188500	73776	2	AMR	2986867
HG02011.h2	10201	140275	2746099	39798	10205	48594	7480	109935	17998	4	AFR	3130584
HG02011.h1	27193	171126	2952504	42845	27187	39780	82178	177365	76063	6	AFR	3596240
HG02018.h2	32271	71334	2531302	45899	13599	176769	11211	732671	8679	3	EAS	3623734
HG02018.h1	1701	23775	1481761	12235	10203	150208	18691	81741	32910	2	EAS	1813224
HG02059.h2	28897	194908	2049881	165276	129198	304894	3738	150602	7480	8	EAS	3034873
HG02071.h2	15290	128380	2286574	45912	17001	207716	26173	946778	22279	3	EAS	3696102
HG02071.h1	33997	206788	2052617	195882	122400	251859	3738	147869	6462	8	EAS	3021611
HG02106.h1	11880	52301	1930456	125486	40802	17666	0	174422	31313	1	AMR	2384325
HG02109.h2	18679	61802	1938582	149966	23809	8831	3739	97481	39728	1	AFR	2342616
HG02257.h1	161484	142687	856356	281517	67958	35352	82261	172981	15153	7	AFR	1815748
HG02282.h2	175079	95120	978669	253950	112136	13264	86004	162747	8159	7	AFR	1885127
HG02282.h1	10174	30907	1710297	162214	10207	8834	3740	106311	13963	1	AFR	2056646
HG02293.h2	6803	28543	1710090	24471	3399	136951	14954	140573	24986	2	AMR	2090769
HG02300.h2	25503	202051	2115137	220374	37408	198831	3741	149581	125305	8	AMR	3077930
HG02492.h2	1701	35671	2468457	21411	23787	273931	3737	166386	35171	2	SAS	3030251
HG02554.h2	8480	35656	1495470	122417	23815	13250	7477	88317	14795	1	AFR	1809676
HG02554.h1	1697	57083	2291976	45910	37381	203260	11212	129900	33666	2	AFR	2812084
HG02572.h2	13580	42786	1783729	153023	13608	8835	3737	95105	14134	1	AFR	2128536
HG02587.h2	5088	33275	1120214	67325	6804	4416	7479	140631	22807	1	AFR	1408038
HG02587.h1	195474	99864	1071044	241685	78141	17668	56090	202847	20023	7	AFR	1982835
HG02615.h1	11899	147385	2944599	42856	20406	30924	18698	121159	283198	4	AFR	3621123
HG02630.h2	10198	126006	2593853	58156	17007	26507	7480	115543	21897	4	AFR	2976646
HG02666.h2	10201	140253	2993527	42856	23805	30924	14961	123194	283198	4	AFR	3662918
HG02666.h1	35683	154497	2175000	70383	20391	17682	33639	120279	29927	6	AFR	2657480
HG02717.h2	5098	45167	1905931	33663	30559	238596	18697	166915	41457	2	AFR	2486082
HG02769.h2	0	16659	1041364	9171	3402	101635	14961	46719	37497	2	AFR	1271407
HG02769.h1	28874	78440	2558582	67358	17006	48618	18686	321348	9695	3	AFR	3148606
HG02809.h2	32292	211567	3665006	257077	88368	247407	11207	230915	65449	8	AFR	4809287
HG02809.h1	576102	166411	1585197	61236	91815	30928	52352	315815	311281	6	AFR	3191136
HG02953.h2	1697	57083	2270215	45910	40776	194420	11212	129902	38936	2	AFR	2790150
HG02953.h1	11891	85582	2006425	24473	23792	44196	56059	201528	22587	5	AFR	2476532
HG03009.h1	8490	83210	2683463	15300	3391	247419	14951	162489	67764	2	SAS	3286476
HG03065.h2	15292	118879	2656215	58128	27191	44196	78484	276472	51948	5	AFR	3326804
HG03065.h1	40793	252000	5130467	351946	108779	569970	14947	418391	87191	8	AFR	6974483
HG03098.h1	164881	92728	965071	257008	112132	8844	97224	161041	7650	7	AFR	1866578
HG03248.h2	171676	130792	796520	275392	81550	26514	100957	144934	24159	7	AFR	1752493
HG03248.h1	6780	38037	1384007	119360	17010	17666	3740	85935	22440	1	AFR	1694974
HG03371.h2	168268	97482	850906	238636	125725	13260	78531	159151	8825	7	AFR	1740783
HG03371.h1	6796	33284	1840650	27549	16985	128134	3736	117977	35306	2	AFR	2210416
HG03452.h2	6791	76054	1223304	12243	6797	17680	29774	72214	34497	6	AFR	1479353
HG03453.h2	18683	102231	2476705	67318	37388	66292	52330	254039	28019	5	AFR	3103004
HG03456.h2	159771	104622	867210	244761	118928	8842	82268	176825	7650	7	AFR	1770876
HG03456.h1	11875	49929	1669480	143841	44230	13247	3740	145398	14134	1	AFR	2095873
HG03516.h1	214159	109357	1011281	269245	122333	13264	82272	159501	7650	7	AFR	1989061
HG03520.h2	0	42792	1495404	33661	40744	141398	14957	114575	28910	2	AFR	1912440
HG03579.h2	27188	95090	1198926	42835	37382	13260	59797	80688	18044	6	AFR	1573209
HG03683.h2	11879	57045	1900587	140783	23805	13249	7482	118565	20632	1	SAS	2294026
HG03683.h1	61206	173546	2378858	303006	91809	362333	18691	211087	14019	8	SAS	3614554
HG03710.h2	1701	61821	2756851	24476	3403	225327	48613	215635	40254	2	SAS	3378080
HG03710.h1	8488	38048	1280600	27538	0	61876	22426	194181	9189	3	SAS	1642345
HG03732.h2	13579	52302	1628619	36726	20399	269604	26169	758203	9189	3	SAS	2814789
HG03732.h1	27187	175904	4162672	61214	27188	172356	44856	710888	29964	3	SAS	5412228
HG03807.h2	37398	128400	1873072	18355	3399	13252	7472	103179	10542	6	SAS	2195068
HG03807.h1	1701	66569	2248455	33663	16986	256277	18696	142093	57160	2	SAS	2841599
HG03927.h1	6782	54680	1566120	100992	37406	13252	0	180049	26356	1	SAS	1985636
HG04217.h2	15271	33275	2001164	149971	54403	13251	7478	201780	23657	1	SAS	2500249
HG04217.h1	16980	49921	1500820	24478	37394	291678	14951	906137	15325	3	SAS	2857683
HG04228.h2	5100	54685	1843311	21414	6797	106035	7477	106396	525542	2	SAS	2676756
HG04228.h1	15292	164016	2873874	76508	23796	79550	11214	466705	38325	3	SAS	3749279
NA12329.h2	11888	40418	1576958	39775	23791	238653	26167	789462	9189	3	EUR	2756300
NA12329.h1	35655	130749	3113162	61206	13603	172350	14952	545955	21786	3	EUR	4109417
NA18534.h1	25480	95095	1900451	55088	10197	225385	14951	743238	21162	3	EAS	3091046
NA18906.h2	22097	92724	1984697	45887	6798	44191	37375	182136	57740	5	AFR	2473644
NA18906.h1	6784	88020	1451754	21427	3403	0	33636	124734	13440	6	AFR	1743197
NA18939.h2	5096	57073	2041794	24467	13587	172312	14957	165174	52002	2	EAS	2546461
NA18939.h1	1701	64197	2661771	30610	40740	313706	14954	201548	63631	2	EAS	3392857
NA18989.h2	40798	140243	1748047	183637	85002	225358	3740	120331	8798	8	EAS	2555953
NA18989.h1	15281	114093	3085979	70410	17002	207727	37385	698007	34709	3	EAS	4280592
NA19036.h2	98582	152106	2088033	45891	23788	8834	22432	133196	40663	6	AFR	2613524
NA19036.h1	1701	21399	1378478	9183	0	13256	0	38738	22070	2	AFR	1484824
NA19129.h2	11894	116487	2653671	45920	17007	35344	11221	113673	13586	4	AFR	3018802
NA19129.h1	15301	118853	2395360	58164	3398	66297	26161	375630	68660	3	AFR	3127823
NA19238.h2	13591	87963	2153266	36712	27191	44189	41109	212401	58745	5	AFR	2675166
NA19238.h1	18689	83206	2071692	36712	27194	53032	48584	184538	55667	5	AFR	2579313
NA19239.h1	28920	159289	2520475	70383	47589	26523	74792	256134	31696	6	AFR	3215800
NA19317.h2	25487	111711	2332859	52048	13595	110495	18681	777903	18388	3	AFR	3461166
NA19317.h1	6797	54678	2474052	33671	37363	207679	41140	144641	38523	2	AFR	3038543
NA19331.h2	169978	152201	812842	253978	81548	44193	100955	171456	15153	7	AFR	1802303
NA19331.h1	27190	121256	2158692	61191	47584	119301	11210	128807	26555	8	AFR	2701785
NA19347.h2	25487	111711	2321983	52048	13595	110495	18681	777903	18388	3	AFR	3450290
NA19347.h1	3401	99877	2463412	58158	3399	26514	26169	50119	15638	4	AFR	2746686
NA19384.h2	96880	149732	2117948	42835	23788	4417	26172	130479	36072	6	AFR	2628322
NA19384.h1	20396	95093	2297504	64271	0	79558	18689	496530	24773	3	AFR	3096813
NA19650.h2	11885	30911	1375734	39785	16999	176791	29906	541749	12437	3	AMR	2236196
NA19650.h1	23805	111735	2025481	244871	88390	357920	11223	126115	23112	8	AMR	3012651
NA19705.h2	13572	38032	1166475	67334	10202	8831	0	89341	10060	1	AFR	1403846
NA19705.h1	8500	166419	3461168	79585	23817	35343	7480	138999	20204	4	AFR	3941514
NA19836.h1	16998	104599	2305667	64272	0	83979	26162	517625	24772	3	AFR	3144073
NA19983.h2	27197	102199	1614926	42833	30589	13258	33645	116361	26852	6	AFR	2007859
NA19983.h1	27174	125974	2960902	58154	33994	203261	33656	633175	78167	3	AFR	4154456
NA20355.h2	0	38041	1541632	39775	44139	154652	11217	115422	32480	2	AFR	1977357
NA20355.h1	8480	38036	1492743	110183	20413	17669	3740	80853	12248	1	AFR	1784364
NA20509.h2	8488	54687	1536180	33664	6801	176786	26169	634741	4585	3	EUR	2482100
NA20509.h1	15277	57055	1661247	48957	20398	274015	26166	900008	9189	3	EUR	3012311
NA20847.h2	1701	61840	1585113	42850	10189	97219	7476	80566	29065	2	SAS	1916018
NA20847.h1	6792	68949	2444210	15300	3391	242977	14951	136998	32764	2	SAS	2966331
NA21487.h2	10195	49929	1840605	15297	13584	198828	18695	179837	47047	2	AFR	2374016
NA21487.h1	5100	28538	2310965	61215	10199	79537	14959	64212	18665	2	AFR	2593389
