Haplotype	Cluster	Contig_len
HG03452.pat	1	2883232
HG02011.pat	1	4188608
HG03456.pat	1	4420649
HG00358.pat	1	4600005
HG002.pat	1	4408473
NA12329.pat	1	4478582
HG02059.mat	1	6019813
HG03520.pat	1	3198106
HG00731.mat	1	4914423
HG04036.pat	1	3420166
HG02587.mat	1	3733417
HG01890.mat	1	3214043
NA19983.mat	1	3496873
NA21487.pat	1	3125400
HG02615.pat	1	3105636
HG03009.pat	1	4056084
NA20847.pat	1	5214080
HG00268.mat	1	4793888
NA18989.pat	1	4853346
NA19331.mat	1	4563555
NA19983.pat	1	3891267
NA19317.mat	1	3856290
NA19347.mat	1	3851191
CHM1.pat	1	4694146
NA20847.mat	1	2980167
HG01457.pat	1	3599695
NA20509.mat	1	3393966
HG00358.mat	1	5431886
HG03683.mat	1	3397677
HG01114.mat	1	3120669
HG01573.mat	1	3351235
HG00171.pat	1	2409807
NA19705.pat	1	2546795
HG00268.pat	1	2929921
HG02257.mat	1	2959977
HG01890.pat	1	3343121
HG02554.mat	1	3838339
NA19036.pat	1	2734661
HG01457.mat	1	3852951
NA19650.mat	1	3810348
HG00096.mat	1	2303325
HG04228.pat	1	4105444
HG002.mat	1	3540408
NA19650.pat	1	3721620
HG00171.mat	1	3425488
HG04217.pat	1	3310408
HG03732.mat	1	4738653
CHM13.pat	1	4137833
HG04036.mat	1	3712690
HG02059.pat	1	4016743
NA18534.pat	1	3851013
HG01573.pat	2	2420397
NA18989.mat	2	3497527
HG01114.pat	2	2362886
HG00731.pat	2	2677552
HG02018.pat	2	3390756
NA18534.mat	2	3474803
HG03683.pat	2	2898844
HG03807.mat	2	2987682
HG02282.mat	3	2433292
NA19705.mat	3	2613061
HG04217.mat	3	3249356
HG01258.mat	3	3426862
HG02071.mat	3	3778268
HG03009.mat	3	3290369
NA20509.pat	3	5457216
HG02011.mat	3	3667479
NA20355.mat	3	2995083
NA21487.mat	3	2633917
HG02554.pat	3	1729796
NA19317.pat	3	3228232
HG03065.pat	3	3901915
HG03371.mat	3	3576698
HG03248.pat	3	4341667
NA19347.pat	3	3773990
HG03807.pat	4	3098549
NA19036.mat	4	3473047
NA19836.mat	4	2592779
HG03248.mat	4	3605895
HG02723.pat	4	2185473
NA19238.pat	4	2750481
NA19129.mat	4	3065429
NA19239.pat	4	2972688
HG02615.mat	5	2957286
HG03371.pat	5	3943575
HG02666.mat	5	2104462
NA19238.mat	5	4494691
HG02953.mat	5	4581367
HG03065.mat	5	3826740
