Haplotype	Cluster	Contig_len
NA19129.h1	1	2349067
HG02809.h2	1	1551727
NA19317.h2	1	1821783
NA19384.h1	1	1696622
HG002.h2	1	5403219
HG002.h1	1	4931536
HG01352.h1	1	4940403
HG02666.h1	1	3450088
NA18939.h1	1	3078408
HG01505.h1	1	3024444
HG02282.h1	1	2533702
NA19983.h2	1	2127621
HG03009.h2	1	7699861
HG01457.h1	1	5448100
HG03927.h1	1	1192188
NA18989.h2	1	4739569
NA20355.h2	1	2689295
HG02011.h1	1	5177127
NA19347.h2	1	2798969
NA20355.h1	1	2419031
CHM13	2	2771686
NA12329.h2	2	2915837
NA21487.h1	2	2487419
HG00268.h1	2	1596144
HG00732.h2	2	1636505
HG00732.h1	2	2823672
CHM1	2	2809603
HG03732.h1	2	2426321
HG04217.h1	2	1982336
HG03520.h1	3	4064421
HG03456.h1	3	3914604
HG03065.h1	3	2880500
HG02587.h2	3	3165477
NA19239.h2	3	262370
HG00731.h2	3	2221850
HG02293.h1	3	2643026
HG01505.h2	3	2173457
HG01106.h2	3	1751415
HG03807.h2	3	2981369
HG03710.h2	3	2133756
HG04228.h2	3	2055273
HG03683.h1	3	2152532
NA19983.h1	3	3193373
HG03009.h1	3	2270901
NA18534.h1	3	2545884
NA12329.h1	3	2526352
HG02059.h2	3	2515592
HG03683.h2	3	1901788
HG03732.h2	3	2208337
HG02615.h2	3	3262428
NA19347.h1	3	3205164
NA20509.h2	3	3019716
HG02011.h2	3	2744209
HG02282.h2	3	2744209
HG02071.h1	3	803892
NA18939.h2	3	1539840
HG01890.h1	3	1343789
HG02293.h2	3	1321721
HG01099.h1	3	2687162
HG00513.h1	3	3633342
HG01352.h2	3	4445928
HG02647.h2	3	2862246
HG02587.h1	3	2255908
HG01890.h2	3	2717782
NA19239.h1	3	2772345
HG02769.h1	3	2578242
NA19705.h2	3	2885914
HG00171.h2	3	2779318
NA19650.h2	3	3154126
HG02953.h1	3	2413368
HG03807.h1	3	2540136
HG03456.h2	3	2599887
NA19129.h2	3	2559278
HG03371.h2	3	1599030
NA19331.h2	3	1846861
HG02666.h2	3	1857258
NA19036.h1	3	2138016
HG01457.h2	3	3485395
HG03452.h1	3	1846518
NA19836.h2	3	3858068
NA19238.h2	3	3170733
HG03248.h2	3	2615880
NA19384.h2	3	1499625
NA19705.h1	3	2091895
