Haplotype	5-mer	6-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	4890387	363751	12067	81417	7	EUR	5347621
CHM13	3348475	3051	8847	88945	10	EUR	3449317
HG00096.h2	3074046	0	21410	103987	12	EUR	3199442
HG00096.h1	3439613	1017	4247	127776	1	EUR	3572652
HG00171.h2	2747697	3063	7486	117625	3	EUR	2875870
HG00171.h1	1245146	2042	2894	103810	3	EUR	1353891
HG002.h2	3490664	3055	10859	170405	1	EUR	3674982
HG002.h1	2414605	1021	2888	121698	3	EUR	2540211
HG00268.h2	3157449	5089	7812	128253	1	EUR	3298602
HG00268.h1	3194405	2034	4073	56400	14	EUR	3256911
HG00358.h2	4387902	2034	9535	93373	10	EUR	4492843
HG00358.h1	2993309	4084	2715	154206	3	EUR	3154313
HG00438.h2	3678456	3057	7813	132330	1	EAS	3821655
HG00438.h1	3271253	1018	16488	163890	1	EAS	3452648
HG00512.h2	2793521	0	3405	92933	10	EAS	2889858
HG00621.h2	3503326	1018	11553	220576	1	EAS	3736472
HG00673.h2	3454928	1018	10200	220597	1	EAS	3686742
HG00731.h1	2662719	6126	1871	129687	3	AMR	2800402
HG00732.h2	2911633	0	73892	111536	9	AMR	3097060
HG00732.h1	3106324	1017	11235	81646	10	AMR	3200221
HG00735.h1	2430709	3063	3233	121877	3	AMR	2558881
HG00741.h2	2635598	9181	4593	126567	3	AMR	2775938
HG01071.h1	4824212	300761	14275	59797	7	AMR	5199044
HG01099.h2	1397229	1017	2722	58211	7	AMR	1459178
HG01099.h1	2698442	6126	6977	129264	3	AMR	2840808
HG01106.h2	2589697	1021	4249	132108	3	AMR	2727074
HG01106.h1	2662745	5101	1871	131091	3	AMR	2800807
HG01109.h1	3958246	438896	14402	131110	6	AMR	4542653
HG01114.h2	3990976	3063	7319	146300	3	AMR	4147657
HG01114.h1	2564916	10210	3739	169584	3	AMR	2748448
HG01123.h2	3227958	7128	9498	121534	1	AMR	3366117
HG01258.h2	3263648	1018	10870	132433	1	AMR	3407968
HG01352.h2	2747764	6122	6977	125376	3	AMR	2886238
HG01352.h1	3277257	1018	10361	124130	1	AMR	3412765
HG01361.h1	2937304	3063	4591	124057	3	AMR	3069014
HG01457.h1	2680596	4084	1871	130553	3	AMR	2817103
HG01505.h2	4795148	438923	12061	76643	7	EUR	5322774
HG01505.h1	2555564	1021	5784	129116	3	EUR	2691484
HG01573.h2	2614289	4080	6977	125209	3	AMR	2750554
HG01573.h1	5784477	527327	25233	47113	7	AMR	6384149
HG01596.h2	1951459	5105	1533	141744	3	EAS	2099840
HG01890.h2	3566127	6126	3556	186293	5	AFR	3762101
