Haplotype	8-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	1665147	75993	10330	4	EUR	1751469
CHM13	2522739	85141	8429	5	EUR	2616308
HG00096.h2	2812165	42293	10038	1	EUR	2864495
HG00096.h1	1565743	9203	115416	8	EUR	1690361
HG00171.h2	2283000	18592	684	2	EUR	2302275
HG002.h2	1756639	62040	73395	6	EUR	1892073
HG002.h1	2297936	29851	2267	2	EUR	2330053
HG00268.h2	1542384	52108	7347	5	EUR	1601838
HG00268.h1	1669343	61189	27318	6	EUR	1757849
HG00358.h2	1746977	75235	171	5	EUR	1822382
HG00358.h1	2569382	32408	3716	1	EUR	2605505
HG005.h1	2555719	24223	2268	2	EAS	2582209
HG00512.h2	1831615	93462	4444	5	EAS	1929520
HG00512.h1	2157481	38353	6475	2	EAS	2202308
HG00513.h2	2583032	42257	2267	2	EAS	2627555
HG00513.h1	1411318	36782	2267	5	EAS	1450366
HG00673.h2	1576449	71163	4655	5	EAS	1652266
HG00731.h2	1534052	31681	3640	5	AMR	1569372
HG00731.h1	1613206	34402	3640	5	AMR	1651247
HG00732.h2	1506930	53971	7043	5	AMR	1567943
HG00732.h1	1357094	13462	134759	8	AMR	1505314
HG00735.h1	1648830	54349	10331	4	AMR	1713509
HG00741.h2	1590191	43104	10331	4	AMR	1643625
HG00741.h1	2889921	23028	11368	1	AMR	2924316
HG01071.h2	2285644	26789	4937	2	AMR	2317369
HG01099.h2	1591522	62533	13058	4	AMR	1667112
HG01106.h2	1572284	34402	3640	5	AMR	1610325
HG01106.h1	2562432	76785	2267	5	AMR	2641483
HG01109.h1	1539558	55333	4654	5	AMR	1599544
HG01114.h1	2581388	88204	6043	5	AMR	2675634
HG01243.h1	672245	31027	8974	6	AMR	712245
HG01258.h2	1783607	58586	9431	5	AMR	1851623
HG01352.h2	844146	18942	7888	1	AMR	870975
HG01352.h1	1437570	6993	116549	8	AMR	1561111
HG01358.h2	2767190	26948	11165	1	AMR	2805302
HG01358.h1	1532810	57879	3295	5	AMR	1593983
HG01361.h2	1713064	12106	117368	8	AMR	1842537
HG01457.h1	1475754	13125	130292	8	AMR	1619170
HG01505.h2	2306199	22343	7890	1	EUR	2336431
HG01505.h1	2757257	86831	4655	5	EUR	2848742
HG01573.h2	2191657	31390	9782	1	AMR	2232828
HG01573.h1	1245096	32692	6028	5	AMR	1283815
HG01596.h2	1770342	16530	152104	8	EAS	1938975
HG01596.h1	2370276	46539	3609	2	EAS	2420423
HG01890.h2	1824442	50935	8431	5	AFR	1883807
HG01890.h1	3288116	36653	8038	2	AFR	3332806
HG01928.h2	2116608	34779	2267	2	AMR	2153653
HG01952.h2	1734962	7842	88685	8	AMR	1831488
HG01978.h1	1401911	41567	12267	4	AMR	1455744
HG02004.h2	2277436	34277	1989	2	AMR	2313701
HG02011.h2	1784016	24533	97914	8	AFR	1906462
HG02059.h1	1560321	15339	130296	8	EAS	1705955
HG02071.h2	1560216	54205	17470	6	EAS	1631890
HG02145.h2	1972107	59966	20070	10	AFR	2052142
HG02282.h2	1458022	14649	61589	8	AFR	1534259
HG02282.h1	1297034	49744	15049	10	AFR	1361826
HG02293.h2	1684428	17215	106743	8	AMR	1808385
HG02293.h1	1943596	21304	165585	8	AMR	2130484
