Haplotype	12-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	3196179	64888	57307	2	EUR	3318373
CHM13	3008946	61826	36661	2	EUR	3107432
HG00096.h2	3263992	70033	25518	2	EUR	3359542
HG00171.h2	2881501	57541	10798	3	EUR	2949839
HG00171.h1	3278487	57540	8810	3	EUR	3344836
HG002.h2	3017198	61801	33226	2	EUR	3112224
HG00268.h2	2848567	52738	30995	2	EUR	2932299
HG00268.h1	3535592	54435	10957	3	EUR	3600983
HG00358.h2	3802987	54451	21196	3	EUR	3878633
HG00438.h1	2560687	23112	8969	3	EAS	2592767
HG00621.h2	3356671	51041	21050	3	EAS	3428761
HG00731.h1	3432617	51699	8927	4	AMR	3493242
HG00735.h2	1910735	23261	19089	4	AMR	1953084
HG01099.h2	2120499	25366	19391	3	AMR	2165255
HG01109.h2	2441380	39891	6996	2	AMR	2488266
HG01114.h2	2982235	51880	35105	2	AMR	3069219
HG01114.h1	2780632	55984	28942	2	AMR	2865557
HG01243.h2	2848558	62578	53491	1	AMR	2964626
HG01258.h2	3377108	56997	34674	2	AMR	3468778
HG01352.h2	2821895	67453	41205	2	AMR	2930552
HG01352.h1	3914011	38555	8969	3	AMR	3961534
HG01361.h2	3183770	36124	36679	2	AMR	3256572
HG01361.h1	3118004	61115	40195	2	AMR	3219313
HG01457.h1	3591118	51500	11158	3	AMR	3653775
HG01505.h2	3443063	60100	12987	3	EUR	3516149
HG01573.h2	3257864	57159	36896	2	AMR	3351918
HG01573.h1	4132008	54284	10999	3	AMR	4197290
HG01596.h2	3601184	80792	20673	2	EAS	3702648
HG01891.h2	2694342	23627	6939	4	AFR	2724907
HG01928.h2	3924260	68681	32939	2	AMR	4025879
HG01952.h2	3560233	54933	13029	3	AMR	3628194
HG01978.h2	3198146	40745	30699	2	AMR	3269589
HG02004.h2	3109737	39031	27102	2	AMR	3175869
HG02011.h2	3440975	48091	14858	3	AFR	3503923
HG02018.h2	3329860	53925	47846	2	EAS	3431630
HG02018.h1	3656914	53618	10999	3	EAS	3721530
HG02059.h2	2858807	41622	28786	2	EAS	2929214
HG02059.h1	2204773	44201	19117	2	EAS	2268090
HG02071.h2	2936955	44528	28785	2	EAS	3010267
HG02080.h1	3140654	33739	30862	2	EAS	3205254
HG02106.h2	3732984	45707	19166	3	AMR	3797856
HG02106.h1	3048041	43297	22428	2	AMR	3113765
HG02109.h2	2112300	24807	19086	4	AFR	2156192
HG02282.h2	2667479	25695	6982	4	AFR	2700155
HG02282.h1	2579220	24290	13071	4	AFR	2616580
HG02293.h2	3200171	59237	32932	2	AMR	3292339
HG02293.h1	3105620	37481	24485	2	AMR	3167585
HG02300.h2	4142327	87864	18825	3	AMR	4249015
HG02300.h1	1908652	44489	15059	3	AMR	1968199
HG02486.h2	2324095	13687	8969	4	AFR	2346750
HG02554.h1	2595639	44967	36535	1	AFR	2677140
HG02559.h2	3237284	38878	21197	4	AFR	3297358
HG02559.h1	2996667	29966	31359	4	AFR	3057991
HG02587.h2	3078925	70056	9370	4	AFR	3158350
HG02587.h1	2618185	50624	40420	1	AFR	2709228
HG02615.h2	2067038	20356	20953	4	AFR	2108346
HG02615.h1	2749843	58540	21445	2	AFR	2829827
HG02666.h1	1608361	33117	36672	1	AFR	1678149
HG02717.h2	1789408	2908	15261	4	AFR	1807576
HG02769.h2	3177744	46035	25269	4	AFR	3249047
HG02769.h1	2718935	51083	37694	1	AFR	2807711
HG02809.h2	3597463	77256	10100	4	AFR	3684818
HG02809.h1	2007379	48555	49230	1	AFR	2105163
HG02886.h2	1606326	28500	34480	1	AFR	1669305
HG02953.h2	2990479	55040	81601	1	AFR	3127119
